date,Barclay CTA Index
1986-12-31,4149.0
1987-01-31,4585.0
1987-02-28,4613.0
1987-03-31,4768.0
1987-04-30,5821.0
1987-05-31,5716.0
1987-06-30,5530.0
1987-07-31,5792.0
1987-08-31,5694.0
1987-09-30,5735.0
1987-10-31,5754.0
1987-11-30,6249.0
1987-12-31,6525.0
1988-01-31,6402.0
1988-02-29,6447.0
1988-03-31,6226.0
1988-04-30,5980.0
1988-05-31,6515.0
1988-06-30,8301.0
1988-07-31,7617.0
1988-08-31,7659.0
1988-09-30,7720.0
1988-10-31,7826.0
1988-11-30,8031.0
1988-12-31,7945.0
1989-01-31,8062.0
1989-02-28,7782.0
1989-03-31,8067.0
1989-04-30,7865.0
1989-05-31,8802.0
1989-06-30,8915.0
1989-07-31,8760.0
1989-08-31,8249.0
1989-09-30,7998.0
1989-10-31,7519.0
1989-11-30,7692.0
1989-12-31,8088.0
1990-01-31,8212.0
1990-02-28,8277.0
1990-03-31,8527.0
1990-04-30,8914.0
1990-05-31,8425.0
1990-06-30,8528.0
1990-07-31,9008.0
1990-08-31,9610.0
1990-09-30,9877.0
1990-10-31,9991.0
1990-11-30,9944.0
1990-12-31,9788.0
1991-01-31,9308.0
1991-02-28,9231.0
1991-03-31,9626.0
1991-04-30,9444.0
1991-05-31,9292.0
1991-06-30,9539.0
1991-07-31,9219.0
1991-08-31,9042.0
1991-09-30,9288.0
1991-10-31,9203.0
1991-11-30,9227.0
1991-12-31,10153.0
1992-01-31,9693.0
1992-02-29,9440.0
1992-03-31,9269.0
1992-04-30,9195.0
1992-05-31,9128.0
1992-06-30,9533.0
1992-07-31,9944.0
1992-08-31,10173.0
1992-09-30,10009.0
1992-10-31,10028.0
1992-11-30,10147.0
1992-12-31,10060.0
1993-01-31,9878.0
1993-02-28,10418.0
1993-03-31,10366.0
1993-04-30,10698.0
1993-05-31,10764.0
1993-06-30,10870.0
1993-07-31,11273.0
1993-08-31,10922.0
1993-09-30,10829.0
1993-10-31,10767.0
1993-11-30,10783.0
1993-12-31,11103.0
1994-01-31,10737.0
1994-02-28,10582.0
1994-03-31,10797.0
1994-04-30,10606.0
1994-05-31,10900.0
1994-06-30,11173.0
1994-07-31,11057.0
1994-08-31,10713.0
1994-09-30,10893.0
1994-10-31,10902.0
1994-11-30,11085.0
1994-12-31,11030.0
1995-01-31,10833.0
1995-02-28,11201.0
1995-03-31,11920.0
1995-04-30,12060.0
1995-05-31,12121.0
1995-06-30,11965.0
1995-07-31,11818.0
1995-08-31,12093.0
1995-09-30,12076.0
1995-10-31,12073.0
1995-11-30,12198.0
1995-12-31,12535.0
1996-01-31,12866.0
1996-02-29,12252.0
1996-03-31,12324.0
1996-04-30,13059.0
1996-05-31,12803.0
1996-06-30,12758.0
1996-07-31,12549.0
1996-08-31,12446.0
1996-09-30,12722.0
1996-10-31,13421.0
1996-11-30,13887.0
1996-12-31,13678.0
1997-01-31,14206.0
1997-02-28,14702.0
1997-03-31,14615.0
1997-04-30,14414.0
1997-05-31,14460.0
1997-06-30,14471.0
1997-07-31,15295.0
1997-08-31,14683.0
1997-09-30,14831.0
1997-10-31,14594.0
1997-11-30,14801.0
1997-12-31,15168.0
1998-01-31,15256.0
1998-02-28,15105.0
1998-03-31,15187.0
1998-04-30,14672.0
1998-05-31,14783.0
1998-06-30,14837.0
1998-07-31,14794.0
1998-08-31,15669.0
1998-09-30,16164.0
1998-10-31,16043.0
1998-11-30,15894.0
1998-12-31,16231.0
1999-01-31,15988.0
1999-02-28,16406.0
1999-03-31,16206.0
1999-04-30,16500.0
1999-05-31,16264.0
1999-06-30,16516.0
1999-07-31,16430.0
1999-08-31,16377.0
1999-09-30,16385.0
1999-10-31,15696.0
1999-11-30,16003.0
1999-12-31,16038.0
2000-01-31,16265.0
2000-02-29,16193.0
2000-03-31,16059.0
2000-04-30,15800.0
2000-05-31,15927.0
2000-06-30,15775.0
2000-07-31,15586.0
2000-08-31,15985.0
2000-09-30,15747.0
2000-10-31,15885.0
2000-11-30,16321.0
2000-12-31,17300.0
2001-01-31,17298.0
2001-02-28,17191.0
2001-03-31,17949.0
2001-04-30,17263.0
2001-05-31,17367.0
2001-06-30,17188.0
2001-07-31,17075.0
2001-08-31,17329.0
2001-09-30,17639.0
2001-10-31,18091.0
2001-11-30,17273.0
2001-12-31,17446.0
2002-01-31,17295.0
2002-02-28,16927.0
2002-03-31,17026.0
2002-04-30,16871.0
2002-05-31,17306.0
2002-06-30,18422.0
2002-07-31,18961.0
2002-08-31,19206.0
2002-09-30,19670.0
2002-10-31,19012.0
2002-11-30,18744.0
2002-12-31,19602.0
2003-01-31,20172.0
2003-02-28,20699.0
2003-03-31,19744.0
2003-04-30,19914.0
2003-05-31,20930.0
2003-06-30,20430.0
2003-07-31,20230.0
2003-08-31,20354.0
2003-09-30,20455.0
2003-10-31,20711.0
2003-11-30,20598.0
2003-12-31,21305.0
2004-01-31,21478.0
2004-02-29,22268.0
2004-03-31,22362.0
2004-04-30,21567.0
2004-05-31,21359.0
2004-06-30,20919.0
2004-07-31,20804.0
2004-08-31,20631.0
2004-09-30,20873.0
2004-10-31,21373.0
2004-11-30,22078.0
2004-12-31,22009.0
2005-01-31,21360.0
2005-02-28,21369.0
2005-03-31,21330.0
2005-04-30,20892.0
2005-05-31,21328.0
2005-06-30,21741.0
2005-07-31,21623.0
2005-08-31,21810.0
2005-09-30,21889.0
2005-10-31,21859.0
2005-11-30,22482.0
2005-12-31,22386.0
2006-01-31,22674.0
2006-02-28,22307.0
2006-03-31,22642.0
2006-04-30,23478.0
2006-05-31,23301.0
2006-06-30,22964.0
2006-07-31,22515.0
2006-08-31,22557.0
2006-09-30,22505.0
2006-10-31,22669.0
2006-11-30,23168.0
2006-12-31,23179.0
2007-01-31,23407.0
2007-02-28,23125.0
2007-03-31,22692.0
2007-04-30,23023.0
2007-05-31,23291.0
2007-06-30,23706.0
2007-07-31,23457.0
2007-08-31,23053.0
2007-09-30,23975.0
2007-10-31,24428.0
2007-11-30,24635.0
2007-12-31,24950.0
2008-01-31,25419.0
2008-02-29,26821.0
2008-03-31,26672.0
2008-04-30,26568.0
2008-05-31,26957.0
2008-06-30,27498.0
2008-07-31,26690.0
2008-08-31,26738.0
2008-09-30,26670.0
2008-10-31,27589.0
2008-11-30,28105.0
2008-12-31,28464.0
2009-01-31,28408.0
2009-02-28,28352.0
2009-03-31,27930.0
2009-04-30,27731.0
2009-05-31,28493.0
2009-06-30,28174.0
2009-07-31,28097.0
2009-08-31,28229.0
2009-09-30,28500.0
2009-10-31,28207.0
2009-11-30,28880.0
2009-12-31,28436.0
2010-01-31,27917.0
2010-02-28,27931.0
2010-03-31,28290.0
2010-04-30,28395.0
2010-05-31,28066.0
2010-06-30,28166.0
2010-07-31,28135.0
2010-08-31,28602.0
2010-09-30,29201.0
2010-10-31,29857.0
2010-11-30,29399.0
2010-12-31,30440.0
2011-01-31,30287.0
2011-02-28,30605.0
2011-03-31,30263.0
2011-04-30,31163.0
2011-05-31,30320.0
2011-06-30,29802.0
2011-07-31,30220.0
2011-08-31,30112.0
2011-09-30,30086.0
2011-10-31,29403.0
2011-11-30,29440.0
2011-12-31,29500.0
2012-01-31,29526.0
2012-02-29,29771.0
2012-03-31,29318.0
2012-04-30,29261.0
2012-05-31,30034.0
2012-06-30,29372.0
2012-07-31,29988.0
2012-08-31,29854.0
2012-09-30,29599.0
2012-10-31,28981.0
2012-11-30,28857.0
2012-12-31,28999.0
2013-01-31,29406.0
2013-02-28,29154.0
2013-03-31,29287.0
2013-04-30,29525.0
2013-05-31,29058.0
2013-06-30,28705.0
2013-07-31,28497.0
2013-08-31,28242.0
2013-09-30,28074.0
2013-10-31,28263.0
2013-11-30,28413.0
2013-12-31,28588.0
2014-01-31,28295.0
2014-02-28,28597.0
2014-03-31,28338.0
2014-04-30,28359.0
2014-05-31,28590.0
2014-06-30,28765.0
2014-07-31,28752.0
2014-08-31,29205.0
2014-09-30,29867.0
2014-10-31,29675.0
2014-11-30,30526.0
2014-12-31,30764.0
2015-01-31,31707.0
2015-02-28,31657.0
2015-03-31,31847.0
2015-04-30,31362.0
2015-05-31,31289.0
2015-06-30,30619.0
2015-07-31,30898.0
2015-08-31,30359.0
2015-09-30,30534.0
2015-10-31,30219.0
2015-11-30,30689.0
2015-12-31,30304.0
2016-01-31,30625.0
2016-02-29,31155.0
2016-03-31,30566.0
2016-04-30,30502.0
2016-05-31,30216.0
2016-06-30,30830.0
2016-07-31,30941.0
2016-08-31,30423.0
2016-09-30,30283.0
2016-10-31,29891.0
2016-11-30,29833.0
2016-12-31,29933.0
2017-01-31,29640.0
2017-02-28,29835.0
2017-03-31,29688.0
2017-04-30,29720.0
2017-05-31,29742.0
2017-06-30,29437.0
2017-07-31,29609.0
2017-08-31,29763.0
2017-09-30,29423.0
2017-10-31,29989.0
2017-11-30,29982.0
2017-12-31,30141.0
2018-01-31,30910.0
2018-02-28,29763.0
2018-03-31,29603.0
2018-04-30,29665.0
2018-05-31,29531.0
2018-06-30,29494.0
2018-07-31,29512.0
2018-08-31,29732.0
2018-09-30,29641.0
2018-10-31,29162.0
2018-11-30,29126.0
2018-12-31,29185.0
2019-01-31,29013.0
2019-02-28,29087.0
2019-03-31,29573.0
2019-04-30,29904.0
2019-05-31,29816.0
2019-06-30,30453.0
2019-07-31,30703.0
2019-08-31,31428.0
2019-09-30,30807.0
2019-10-31,30510.0
2019-11-30,30616.0
2019-12-31,30701.0
2020-01-31,30831.0
2020-02-29,30542.0
2020-03-31,31054.0
2020-04-30,31094.0
2020-05-31,31068.0
2020-06-30,30900.0
2020-07-31,31471.0
2020-08-31,31527.0
2020-09-30,31192.0
2020-10-31,31035.0
2020-11-30,31505.0
2020-12-31,32357.0
2021-01-31,32302.0
2021-02-28,32994.0
2021-03-31,33089.0
2021-04-30,33595.0
2021-05-31,33897.0
2021-06-30,33755.0
2021-07-31,33809.0
2021-08-31,33830.0
2021-09-30,33951.0
2021-10-31,34354.0
2021-11-30,33824.0
2021-12-31,33998.0
2022-01-31,34176.0
2022-02-28,34633.0
2022-03-31,35800.0
2022-04-30,36803.0
2022-05-31,36729.0
2022-06-30,36752.0
2022-07-31,36504.0
2022-08-31,36665.0
2022-09-30,37191.0
2022-10-31,37283.0
2022-11-30,37283.0
2022-12-31,37283.0
2023-01-31,37283.0
